Age,Gender,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency,Experience_Level,BMI,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Heart_Rate_Reserve,Calories_per_Hour,Hydration_Score
41,1,94.5,2.0,179,136,69,1.18,794.0,27.6,3.7,3,1,23.62,True,False,False,110,667.2268907563025,11.100000000000001
20,1,117.7,1.81,196,161,54,1.35,1195.0,26.4,3.3,3,2,35.93,False,False,True,142,878.6764705882352,9.899999999999999
39,0,42.5,1.75,181,131,52,1.13,740.0,26.2,2.1,2,1,13.88,False,True,False,129,649.1228070175439,4.2
19,0,64.0,1.53,166,167,58,1.33,1111.0,29.8,2.3,3,2,27.34,True,False,False,108,829.1044776119403,6.8999999999999995
41,0,43.8,1.77,182,165,58,1.19,884.0,31.9,1.6,3,1,13.98,False,False,False,124,736.6666666666667,4.800000000000001
47,0,66.8,1.75,199,146,56,1.13,742.0,32.8,2.5,3,2,21.81,False,True,False,143,650.8771929824562,7.5
55,0,75.2,1.67,188,167,51,1.37,1030.0,25.2,2.2,2,1,26.96,True,False,False,137,746.3768115942029,4.4
19,1,89.0,1.77,175,127,72,1.5,1048.0,28.9,3.7,4,2,28.41,False,True,False,103,694.0397350993377,14.8
38,1,71.9,1.77,197,142,72,1.12,875.0,25.7,3.1,2,1,22.95,False,False,False,125,774.3362831858407,6.2
50,0,71.0,1.68,187,161,70,1.17,848.0,33.1,2.5,2,1,25.16,False,False,True,117,718.6440677966102,5.0
29,1,120.9,1.78,197,168,65,0.78,721.0,28.1,3.4,2,1,38.16,False,False,True,132,912.6582278481012,6.8
39,0,64.3,1.69,190,148,58,1.25,925.0,26.9,1.9,4,2,22.51,True,False,False,132,734.1269841269841,7.6
42,0,63.7,1.71,173,169,62,1.42,1080.0,26.1,1.8,3,2,21.78,False,False,True,111,755.2447552447553,5.4
44,1,65.2,1.8,192,139,68,0.73,502.0,27.2,2.7,2,1,20.12,True,False,False,124,678.3783783783784,5.4
59,1,53.9,1.75,168,135,69,1.48,989.0,21.6,2.8,4,2,17.6,False,True,False,99,663.7583892617449,11.2
45,1,84.9,1.86,186,136,66,1.64,1104.0,14.2,3.5,5,3,24.54,True,False,False,120,669.0909090909091,17.5
33,0,78.0,1.68,183,135,55,1.29,871.0,32.3,1.8,3,2,27.64,True,False,False,128,670.0,5.4
32,1,108.2,1.8,172,138,53,1.27,964.0,28.4,3.5,3,1,33.4,True,False,False,119,753.125,10.5
20,0,65.4,1.52,185,127,50,1.03,654.0,28.0,2.2,4,2,28.31,False,False,True,135,628.8461538461538,8.8
54,0,50.2,1.61,188,157,67,1.48,1046.0,28.2,2.7,2,1,19.37,True,False,False,121,702.0134228187919,5.4
24,0,58.9,1.51,187,157,68,1.04,816.0,31.7,2.5,2,1,25.83,False,False,False,119,777.1428571428571,5.0
38,1,81.4,1.71,187,148,58,1.52,1237.0,10.2,3.5,5,3,27.84,True,False,False,129,808.4967320261438,17.5
26,1,127.6,1.73,167,160,62,1.32,1162.0,27.3,2.9,3,1,42.63,False,True,False,105,873.6842105263157,8.7
56,0,59.3,1.56,182,155,57,1.26,879.0,33.4,2.6,4,2,24.37,False,False,False,125,692.1259842519685,10.4
35,1,96.9,1.71,188,145,72,1.34,1069.0,24.2,2.9,3,2,33.14,False,True,False,116,791.8518518518518,8.7
21,1,62.6,1.81,164,150,62,1.3,1072.0,27.6,3.5,4,2,19.11,False,True,False,102,818.3206106870228,14.0
42,1,45.5,1.6,166,163,64,1.31,1057.0,21.7,2.6,3,2,17.77,False,True,False,102,800.7575757575758,7.800000000000001
31,0,48.8,1.51,195,131,60,1.48,969.0,28.2,2.0,2,1,21.4,False,False,False,135,650.3355704697987,4.0
26,0,44.3,1.6,186,136,61,1.08,734.0,34.7,2.0,3,1,17.3,False,False,False,125,673.394495412844,6.0
43,1,113.2,1.83,161,134,63,1.45,962.0,29.9,2.9,4,2,33.8,False,False,True,98,658.9041095890411,11.6
19,0,60.5,1.59,184,128,53,1.14,730.0,30.1,2.2,2,1,23.93,False,False,False,131,634.7826086956522,4.4
37,1,124.2,1.76,168,158,50,1.5,1304.0,29.3,2.8,2,1,40.1,True,False,False,118,863.5761589403974,5.6
45,1,52.4,1.85,186,161,73,1.2,956.0,25.2,2.5,3,1,15.31,False,True,False,113,790.0826446280992,7.5
24,1,54.7,1.74,160,167,53,0.84,772.0,22.9,3.6,3,1,18.07,False,False,True,107,908.2352941176471,10.8
25,1,88.1,1.95,182,131,68,1.41,1016.0,22.7,3.0,2,1,23.17,False,False,False,114,715.492957746479,6.0
52,0,59.7,1.71,169,151,58,1.23,836.0,34.3,2.0,3,1,20.42,False,True,False,111,674.1935483870968,6.0
31,0,79.7,1.54,184,144,59,1.03,742.0,26.7,2.3,4,2,33.61,False,False,False,125,713.4615384615385,9.2
34,0,51.0,1.62,162,158,53,1.42,1122.0,30.8,2.4,3,2,19.43,False,False,True,109,784.6153846153846,7.199999999999999
53,1,84.2,1.76,165,137,69,1.67,1133.0,12.8,3.5,5,3,27.18,False,False,False,96,674.4047619047619,17.5
57,1,122.1,1.89,165,134,58,1.13,750.0,27.4,3.6,3,1,34.18,False,False,False,107,657.8947368421053,10.8
21,1,96.7,1.72,161,151,62,1.26,1046.0,25.0,2.8,3,1,32.69,False,True,False,99,823.6220472440945,8.399999999999999
19,0,73.0,1.79,177,125,61,0.81,506.0,27.7,1.6,3,1,22.78,True,False,False,116,617.0731707317073,4.800000000000001
23,1,114.8,1.6,182,163,60,1.47,1318.0,21.7,2.7,4,2,44.84,False,False,False,122,890.5405405405405,10.8
59,0,65.5,1.52,161,162,61,1.4,1021.0,31.2,2.1,3,2,28.35,False,False,True,100,724.113475177305,6.300000000000001
21,0,50.3,1.52,171,154,67,1.08,832.0,32.2,2.6,3,1,21.77,False,False,False,104,763.3027522935779,7.800000000000001
46,0,61.0,1.71,181,153,61,1.67,1150.0,17.8,2.7,4,3,20.86,False,False,False,120,684.5238095238095,10.8
35,0,44.6,1.62,196,157,65,0.56,440.0,32.4,2.0,2,1,16.99,True,False,False,131,771.9298245614034,4.0
43,0,58.2,1.61,179,124,54,1.04,580.0,26.4,2.6,3,2,22.45,False,True,False,125,552.3809523809524,7.800000000000001
51,0,44.8,1.63,198,137,69,1.08,666.0,33.8,2.1,4,2,16.86,False,False,True,129,611.0091743119266,8.4
27,1,87.5,1.63,183,135,74,1.75,1299.0,12.9,3.5,5,3,32.93,False,True,False,109,738.0681818181819,17.5
53,1,51.8,1.74,179,127,61,1.23,773.0,21.3,3.7,3,2,17.11,False,True,False,118,623.3870967741935,11.100000000000001
31,0,64.4,1.7,160,144,70,1.97,1418.0,17.3,2.7,5,3,22.28,False,True,False,90,716.1616161616162,13.5
48,0,67.1,1.61,160,151,74,0.62,421.0,33.4,1.5,2,1,25.89,False,False,False,86,668.2539682539682,3.0
32,1,85.9,1.6,176,145,60,1.99,1587.0,14.5,3.5,5,3,33.55,True,False,False,116,793.5,17.5
25,0,65.4,1.77,160,141,58,0.89,627.0,27.6,2.6,3,1,20.88,False,False,False,102,696.6666666666666,7.800000000000001
31,0,61.1,1.76,189,150,67,1.81,1358.0,18.6,2.7,4,3,19.72,False,False,True,122,746.1538461538461,10.8
40,1,106.5,1.65,162,162,74,1.32,1176.0,21.0,3.6,4,2,39.12,True,False,False,88,884.2105263157895,14.4
57,0,64.0,1.52,170,129,52,1.73,1004.0,15.2,2.7,5,3,27.7,False,True,False,118,577.0114942528736,13.5
38,0,61.4,1.54,183,131,69,1.47,963.0,30.6,2.7,3,2,25.89,True,False,False,114,650.6756756756757,8.100000000000001
33,0,40.5,1.63,181,147,66,1.07,786.0,31.9,1.5,4,2,15.24,False,False,True,115,727.7777777777777,6.0
35,1,70.1,1.79,185,125,63,1.08,743.0,28.0,2.3,3,2,21.88,False,False,False,122,681.651376146789,6.8999999999999995
41,1,94.1,1.62,172,139,50,1.13,777.0,23.4,3.1,4,2,35.86,False,False,False,122,681.5789473684212,12.4
43,1,55.5,1.82,160,124,66,1.08,663.0,20.1,2.0,3,1,16.76,False,True,False,94,608.2568807339449,6.0
42,0,53.7,1.72,183,142,74,1.37,875.0,29.8,1.6,3,1,18.15,False,False,False,109,634.0579710144928,4.800000000000001
58,0,66.1,1.75,169,128,57,0.63,363.0,25.2,1.8,2,1,21.58,False,False,False,112,567.1875,3.6
46,1,103.9,1.77,194,148,54,1.18,864.0,20.9,2.9,2,1,33.16,False,False,True,140,726.0504201680673,5.8
32,0,61.7,1.58,183,135,54,1.87,1262.0,16.6,2.7,5,3,24.72,True,False,False,129,671.2765957446808,13.5
18,0,52.3,1.74,187,165,58,1.2,990.0,29.4,2.2,2,1,17.27,False,False,False,129,818.1818181818182,4.4
42,0,59.5,1.74,195,141,52,1.78,1129.0,16.4,2.7,5,3,19.65,False,False,True,143,630.7262569832402,13.5
24,0,72.9,1.76,175,127,68,0.86,546.0,30.8,1.5,3,1,23.53,False,False,True,107,627.5862068965517,4.5
26,0,76.7,1.63,199,139,72,1.08,751.0,25.6,1.7,2,1,28.87,False,True,False,127,688.9908256880733,3.4
41,1,72.1,1.83,175,133,58,1.13,744.0,21.4,2.8,3,2,21.53,False,False,True,117,652.6315789473684,8.399999999999999
18,0,54.8,1.68,176,158,71,1.27,1003.0,32.0,2.2,4,2,19.42,False,True,False,105,783.59375,8.8
25,1,105.0,1.88,174,156,67,1.34,1150.0,21.4,2.3,3,2,29.71,False,False,False,107,851.8518518518518,6.8999999999999995
41,0,55.0,1.55,175,169,65,1.45,1103.0,31.4,2.0,4,2,22.89,False,True,False,110,755.4794520547946,8.0
28,1,81.6,1.66,174,153,50,1.09,917.0,20.5,3.5,4,2,29.61,False,False,True,124,833.6363636363635,14.0
34,0,75.6,1.6,193,130,51,0.64,416.0,29.1,2.7,2,1,29.53,True,False,False,142,640.0,5.4
25,1,81.5,1.61,170,159,63,1.93,1688.0,10.9,3.5,4,3,31.44,True,False,False,107,870.1030927835052,14.0
52,0,61.5,1.69,160,152,63,1.8,1231.0,15.5,2.7,4,3,21.53,False,False,False,97,680.110497237569,10.8
52,1,74.0,1.63,174,150,50,1.26,936.0,25.7,3.7,3,2,27.85,False,False,False,124,737.007874015748,11.100000000000001
50,0,56.4,1.59,185,163,74,1.26,924.0,34.3,2.6,3,1,22.31,True,False,False,111,727.5590551181102,7.800000000000001
22,1,102.6,1.84,163,153,65,1.25,1052.0,20.5,2.7,3,2,30.3,False,True,False,98,834.9206349206349,8.100000000000001
59,0,54.6,1.57,164,169,64,0.58,441.0,29.2,2.3,3,1,22.15,False,False,False,100,747.4576271186442,6.8999999999999995
56,1,129.0,1.78,194,126,64,1.29,805.0,27.1,2.7,2,1,40.71,False,False,True,130,619.2307692307692,5.4
58,1,103.5,1.66,172,168,61,1.33,1106.0,24.6,3.1,3,1,37.56,False,False,False,111,825.3731343283581,9.3
45,0,59.4,1.51,169,142,65,1.15,735.0,33.1,1.9,4,2,26.05,False,True,False,104,633.6206896551724,7.6
24,0,60.1,1.79,170,165,63,1.97,1625.0,15.9,2.7,4,3,18.76,False,False,False,107,820.7070707070707,10.8
26,1,77.7,1.62,177,126,73,1.16,804.0,29.6,3.0,3,2,29.61,False,False,True,104,687.1794871794872,9.0
25,0,41.2,1.62,193,144,64,1.49,1073.0,28.9,2.1,4,2,15.7,False,False,True,129,715.3333333333334,8.4
29,1,58.6,1.61,198,122,72,1.2,805.0,23.4,2.0,3,2,22.61,False,False,True,126,665.2892561983472,6.0
51,1,109.3,1.78,182,157,64,0.54,420.0,28.7,3.3,3,1,34.5,False,True,False,118,763.6363636363636,9.899999999999999
50,1,69.6,1.96,166,139,68,0.97,667.0,25.6,2.0,3,1,18.12,False,True,False,98,680.6122448979592,6.0
40,0,56.2,1.79,198,153,57,1.79,1369.0,17.6,2.7,5,3,17.54,False,False,True,141,760.5555555555555,13.5
41,1,71.7,1.96,162,168,51,0.51,424.0,27.3,2.5,2,1,18.66,False,False,True,111,815.3846153846154,5.0
54,1,86.0,1.93,171,163,51,1.74,1404.0,12.9,3.5,5,3,23.09,False,True,False,120,802.2857142857143,17.5
52,0,79.4,1.59,166,163,59,1.39,1020.0,26.6,1.5,3,2,31.41,False,True,False,107,728.5714285714287,4.5
57,0,78.4,1.62,185,149,52,1.01,677.0,31.7,2.0,4,2,29.87,False,True,False,133,663.7254901960785,8.0
39,0,55.4,1.6,192,136,72,1.44,979.0,26.3,1.6,3,2,21.64,True,False,False,120,675.1724137931035,4.800000000000001
44,0,61.7,1.55,196,129,66,1.41,819.0,33.1,2.6,4,2,25.68,False,True,False,130,576.7605633802817,10.4
52,1,85.5,1.82,174,154,57,1.78,1357.0,14.9,3.5,4,3,25.81,False,False,True,117,758.1005586592179,14.0
18,1,87.6,1.93,161,139,72,1.72,1315.0,11.9,3.5,4,3,23.52,True,False,False,89,760.1156069364162,14.0
52,1,82.4,1.72,166,137,53,1.01,685.0,24.4,2.7,4,2,27.85,False,True,False,113,671.5686274509803,10.8
54,1,67.0,1.68,191,164,63,0.55,446.0,20.5,2.8,3,1,23.74,False,False,True,128,796.4285714285713,8.399999999999999
31,0,42.3,1.6,163,163,70,1.09,888.0,25.1,1.9,3,2,16.52,False,False,False,93,807.2727272727273,5.699999999999999
20,1,82.7,1.99,179,146,59,1.69,1357.0,14.6,3.5,5,3,20.88,True,False,False,120,798.2352941176471,17.5
18,1,92.4,1.74,195,168,50,1.41,1303.0,21.3,3.1,2,1,30.52,False,False,True,145,917.6056338028169,6.2
22,0,63.2,1.54,191,155,53,1.02,790.0,29.5,2.4,4,2,26.65,False,False,False,138,766.9902912621359,9.6
43,1,82.7,1.85,187,142,50,1.22,858.0,28.2,3.1,4,2,24.16,False,False,True,137,697.5609756097562,12.4
31,1,86.6,1.76,172,151,66,1.29,1071.0,28.9,3.3,3,2,27.96,False,True,False,106,823.8461538461538,9.899999999999999
56,1,129.5,1.95,160,129,66,1.0,639.0,25.2,3.5,2,1,34.06,False,True,False,94,632.6732673267327,7.0
44,1,98.0,1.83,194,130,56,1.28,824.0,25.7,3.5,4,2,29.26,False,False,False,138,638.7596899224806,14.0
26,1,86.2,1.68,189,157,72,1.97,1701.0,13.3,3.5,5,3,30.54,False,True,False,117,859.0909090909091,17.5
32,1,78.6,1.62,195,125,69,1.28,880.0,29.6,3.1,3,1,29.95,False,False,True,126,682.1705426356589,9.3
32,0,59.0,1.66,184,160,64,0.51,408.0,31.0,1.8,2,1,21.41,False,False,False,120,784.6153846153846,3.6
43,0,57.3,1.79,175,166,62,1.98,1479.0,17.8,2.7,4,3,17.88,False,False,True,113,743.2160804020101,10.8
59,1,122.3,1.89,178,153,51,0.66,500.0,20.1,3.1,3,1,34.24,False,False,True,127,746.2686567164179,9.3
30,1,85.3,1.95,160,155,68,1.61,1373.0,10.4,3.5,5,3,22.43,False,False,True,92,847.5308641975308,17.5
49,0,45.2,1.74,164,156,73,1.24,870.0,30.8,2.1,3,2,14.93,False,True,False,91,696.0,6.300000000000001
56,1,55.6,1.92,181,136,62,0.68,458.0,29.4,3.2,3,1,15.08,False,True,False,119,663.7681159420289,9.600000000000001
49,1,82.8,1.95,183,159,73,1.91,1503.0,14.3,3.5,5,3,21.78,False,False,True,110,782.8125,17.5
21,1,125.2,1.66,196,159,60,1.38,1207.0,29.8,3.4,3,2,45.43,True,False,False,136,868.3453237410073,10.2
47,0,58.5,1.79,195,131,71,1.42,837.0,30.3,2.4,4,2,18.26,False,False,True,124,585.3146853146853,9.6
54,1,86.1,1.95,195,140,64,1.17,811.0,27.9,3.4,2,1,22.64,False,False,True,131,687.2881355932204,6.8
40,0,63.5,1.61,163,159,59,1.31,1041.0,33.4,1.6,3,2,24.5,False,False,False,104,788.6363636363636,4.800000000000001
56,1,69.3,1.68,195,138,58,0.66,451.0,26.5,2.1,2,1,24.55,False,False,True,137,673.1343283582089,4.2
32,0,70.5,1.62,177,122,58,1.24,756.0,28.4,1.8,2,1,26.86,False,True,False,119,604.8,3.6
46,0,60.1,1.65,175,137,69,1.69,1042.0,17.3,2.7,4,3,22.08,False,False,False,106,612.9411764705883,10.8
53,1,94.1,1.95,177,138,50,0.89,608.0,28.6,3.5,3,1,24.75,True,False,False,127,675.5555555555555,10.5
30,0,79.2,1.62,181,166,66,1.26,1046.0,28.0,2.5,4,2,30.18,False,False,False,115,823.6220472440945,10.0
49,1,115.3,1.91,161,125,61,1.38,854.0,29.2,3.2,2,1,31.61,True,False,False,100,614.3884892086331,6.4
24,0,62.9,1.79,180,135,59,1.42,958.0,27.3,2.3,4,2,19.63,False,False,False,121,669.93006993007,9.2
39,1,62.0,1.64,195,127,54,0.97,678.0,27.5,3.2,3,1,23.05,False,False,False,141,691.8367346938776,9.600000000000001
45,1,88.5,1.78,198,167,67,1.53,1265.0,13.2,3.5,4,3,27.93,True,False,False,131,821.4285714285714,14.0
19,0,73.9,1.77,198,137,64,1.28,877.0,32.5,2.6,3,2,23.59,False,True,False,134,679.8449612403101,7.800000000000001
59,1,50.3,1.95,188,167,55,1.07,885.0,24.4,3.4,3,1,13.23,False,True,False,133,819.4444444444443,10.2
23,1,83.1,1.8,185,162,56,0.7,624.0,29.3,3.1,3,1,25.65,False,True,False,129,878.8732394366198,9.3
45,0,65.1,1.78,180,158,66,1.46,1038.0,31.3,2.3,3,1,20.55,False,False,False,114,706.1224489795918,6.8999999999999995
45,1,46.6,1.79,176,168,55,1.46,1214.0,22.9,2.4,3,2,14.54,False,False,True,121,825.8503401360545,7.199999999999999
37,1,103.5,1.89,175,168,57,0.54,499.0,26.4,3.1,2,1,28.97,False,False,False,118,907.2727272727273,6.2
47,0,61.9,1.54,190,131,61,1.95,1150.0,16.4,2.7,4,3,26.1,False,False,True,129,586.7346938775511,10.8
28,0,52.0,1.61,168,164,70,1.32,1082.0,27.9,2.0,3,2,20.06,False,False,True,98,813.5338345864661,6.0
45,1,113.4,1.71,190,129,63,0.83,530.0,24.0,2.3,2,1,38.78,False,True,False,127,630.952380952381,4.6
42,1,62.9,1.98,173,126,61,1.42,886.0,28.5,3.4,4,2,16.04,False,False,True,112,619.5804195804196,13.6
56,0,40.4,1.8,196,165,72,1.23,913.0,30.0,2.1,4,2,12.47,False,False,False,124,736.2903225806451,8.4
50,0,67.1,1.75,161,120,59,0.67,362.0,31.8,2.7,3,1,21.91,False,False,False,102,532.3529411764705,8.100000000000001
18,1,70.0,1.61,173,168,71,1.3,1201.0,23.9,2.5,2,1,27.01,False,True,False,102,916.7938931297709,5.0
44,0,69.5,1.75,192,155,69,1.02,711.0,27.6,2.1,3,1,22.69,True,False,False,123,690.2912621359224,6.300000000000001
30,1,107.9,1.66,194,140,64,1.08,832.0,29.5,2.8,3,2,39.16,False,False,False,130,763.3027522935779,8.399999999999999
58,1,109.0,1.91,198,156,56,1.49,1151.0,26.0,2.2,3,2,29.88,False,False,True,142,767.3333333333334,6.6000000000000005
20,1,101.0,1.91,179,143,58,1.36,1070.0,29.3,2.7,3,2,27.69,False,False,False,121,781.0218978102189,8.100000000000001
56,1,88.5,1.85,161,144,59,1.57,1119.0,11.0,3.5,4,3,25.86,False,False,False,102,708.2278481012657,14.0
23,1,80.9,1.8,178,126,59,1.55,1074.0,10.7,3.5,4,3,24.97,False,False,False,119,688.4615384615385,14.0
25,0,43.1,1.62,196,161,65,1.04,837.0,33.6,1.8,4,2,16.42,True,False,False,131,797.1428571428571,7.2
44,0,59.1,1.52,177,136,56,1.58,967.0,18.4,2.7,5,3,25.58,False,False,True,121,608.1761006289308,13.5
26,0,54.0,1.53,175,148,54,1.14,844.0,26.9,1.7,3,1,23.07,False,True,False,121,733.9130434782609,5.1
54,0,72.3,1.78,163,149,72,1.27,852.0,27.7,1.8,2,1,22.82,False,False,False,91,665.625,3.6
50,1,51.1,1.98,171,126,52,0.92,574.0,28.0,2.4,2,1,13.03,False,False,True,119,617.2043010752687,4.8
59,1,89.4,1.72,188,152,67,1.08,813.0,24.5,3.2,3,1,30.22,False,False,True,121,745.8715596330275,9.600000000000001
41,1,51.5,1.8,166,126,60,1.09,680.0,26.7,2.1,4,2,15.9,False,True,False,106,618.1818181818181,8.4
32,1,87.9,1.88,173,143,64,1.52,1195.0,11.6,3.5,5,3,24.87,False,False,False,109,781.0457516339869,17.5
49,0,42.0,1.52,171,130,70,1.1,644.0,28.8,2.2,3,1,18.18,True,False,False,101,580.1801801801802,6.6000000000000005
49,1,79.2,1.72,194,128,69,1.46,925.0,29.9,3.3,3,1,26.77,False,False,True,125,629.2517006802722,9.899999999999999
41,1,64.8,1.71,164,131,54,1.2,778.0,22.5,2.8,3,2,22.16,False,True,False,110,642.9752066115702,8.399999999999999
58,0,63.0,1.78,176,154,73,1.58,1095.0,17.5,2.7,4,3,19.88,True,False,False,103,688.6792452830189,10.8
29,0,56.2,1.77,191,123,61,0.68,418.0,33.4,2.6,3,1,17.94,False,False,True,130,605.7971014492753,7.800000000000001
56,0,52.9,1.64,169,155,53,1.1,767.0,27.4,2.3,3,2,19.67,False,False,False,116,690.9909909909909,6.8999999999999995
19,0,49.0,1.69,176,147,64,1.05,772.0,29.2,2.4,3,1,17.16,False,False,True,112,728.3018867924528,7.199999999999999
20,1,128.2,1.84,164,132,58,0.83,603.0,26.2,2.3,3,1,37.87,True,False,False,106,717.8571428571429,6.8999999999999995
54,1,83.6,1.86,168,142,56,1.54,1082.0,12.4,3.5,5,3,24.16,True,False,False,112,698.0645161290322,17.5
34,0,56.2,1.77,192,138,59,1.81,1249.0,17.3,2.7,5,3,17.94,False,False,False,133,686.2637362637363,13.5
19,1,87.8,1.78,195,161,72,1.28,1133.0,23.6,3.3,2,1,27.71,False,False,False,123,878.2945736434108,6.6
19,1,85.9,1.85,195,156,62,1.66,1424.0,12.9,3.5,4,3,25.1,False,True,False,133,852.6946107784431,14.0
45,1,51.1,1.87,177,158,57,1.44,1126.0,26.2,3.4,4,2,14.61,False,False,False,120,776.551724137931,13.6
40,0,57.4,1.71,168,143,61,1.87,1337.0,18.3,2.7,5,3,19.63,False,True,False,107,711.1702127659574,13.5
54,1,114.9,1.92,188,135,71,1.2,802.0,20.7,2.6,4,2,31.17,True,False,False,117,662.8099173553719,10.4
49,0,62.1,1.66,173,152,73,1.37,937.0,31.3,1.8,3,2,22.54,True,False,False,100,678.9855072463768,5.4
50,1,57.1,1.91,184,131,68,1.09,707.0,29.5,2.7,4,2,15.65,False,False,True,116,642.7272727272726,10.8
18,1,68.1,1.8,174,153,50,1.1,926.0,25.4,3.3,4,2,21.02,False,False,True,124,834.2342342342341,13.2
36,1,69.2,1.65,165,126,65,1.23,852.0,27.2,2.7,3,1,25.42,False,True,False,100,687.0967741935484,8.100000000000001
19,0,65.2,1.52,188,130,71,1.23,800.0,30.6,2.4,3,1,28.22,False,False,False,117,645.1612903225806,7.199999999999999
43,1,108.6,1.73,174,150,66,1.33,988.0,28.5,2.2,2,1,36.29,False,False,False,108,737.3134328358209,4.4
49,0,40.0,1.65,188,148,74,1.03,686.0,34.3,2.5,3,2,14.69,False,False,True,114,659.6153846153846,7.5
23,0,41.9,1.58,163,132,67,0.56,370.0,26.8,1.8,3,1,16.78,True,False,False,96,649.1228070175438,5.4
49,0,68.3,1.52,177,150,60,1.45,979.0,29.4,1.8,4,2,29.56,False,True,False,117,670.5479452054794,7.2
21,1,88.4,1.6,198,121,67,1.71,1138.0,12.0,3.5,4,3,34.53,True,False,False,131,661.6279069767442,14.0
28,1,66.0,1.9,175,158,56,1.18,1025.0,24.1,3.0,3,1,18.28,True,False,False,119,861.344537815126,9.0
34,1,71.9,1.64,170,134,67,1.26,929.0,21.3,2.1,4,2,26.73,False,False,False,103,731.496062992126,8.4
55,1,75.6,1.71,173,130,57,1.03,663.0,28.1,2.0,4,2,25.85,False,True,False,116,637.5,8.0
41,0,63.4,1.59,162,153,55,1.84,1267.0,15.2,2.7,5,3,25.08,True,False,False,107,684.8648648648648,13.5
22,0,71.6,1.77,197,158,56,1.49,1177.0,30.3,1.8,3,1,22.85,False,False,True,141,784.6666666666666,5.4
51,0,57.4,1.77,177,123,72,1.08,598.0,31.6,2.1,4,2,18.32,False,False,True,105,548.6238532110091,8.4
23,1,83.8,1.99,179,130,71,1.79,1280.0,11.0,3.5,4,3,21.16,False,False,False,108,711.1111111111111,14.0
39,0,55.9,1.71,184,148,59,1.95,1443.0,19.5,2.7,5,3,19.12,False,False,True,125,736.2244897959184,13.5
28,1,87.0,1.76,197,121,60,1.2,799.0,28.4,3.5,3,2,28.09,False,False,True,137,660.3305785123968,10.5
33,0,65.3,1.71,172,135,74,1.18,796.0,29.7,2.5,4,2,22.33,True,False,False,98,668.9075630252102,10.0
50,1,45.4,1.67,163,158,62,1.37,1071.0,24.1,2.8,4,2,16.28,False,False,True,101,776.086956521739,11.2
26,1,87.1,1.87,173,132,58,1.71,1241.0,11.2,3.5,4,3,24.91,False,False,True,115,721.5116279069767,14.0
23,0,78.6,1.73,192,156,56,1.47,1147.0,32.3,1.5,4,2,26.26,True,False,False,136,775.0,6.0
33,0,78.0,1.71,187,136,58,1.08,734.0,26.3,2.1,3,1,26.67,False,False,False,129,673.394495412844,6.300000000000001
46,0,58.0,1.53,196,140,62,1.83,1153.0,18.4,2.7,4,3,24.78,False,False,False,134,626.6304347826086,10.8
20,0,71.3,1.69,167,163,52,1.28,1043.0,33.4,2.3,3,2,24.96,False,True,False,115,808.5271317829457,6.8999999999999995
37,1,49.1,1.74,193,138,52,1.11,842.0,22.3,2.6,3,2,16.22,False,False,True,141,751.7857142857142,7.800000000000001
53,0,78.3,1.65,164,126,50,1.24,703.0,33.7,1.6,3,1,28.76,True,False,False,114,562.4,4.800000000000001
