Weight_kg,Calories_Intake,Protein_Intake_g,Workout_Duration_min,Steps_Walked,day_number,week,Calories_per_Workout,Protein_per_kg,Activity_Score,Progress_Category
71.8,1804,94,108,12789,53,7,16.55045871559633,1.309192200557103,120.789,muscle_gain
73.1,2926,85,47,3120,54,7,60.958333333333336,1.1627906976744187,50.12,muscle_gain
72.8,3019,119,93,13260,55,7,32.11702127659574,1.6346153846153846,106.26,maintenance
67.5,2573,68,58,2950,56,8,43.610169491525426,1.0074074074074073,60.95,weight_loss
69.1,2676,157,76,4336,57,8,34.753246753246756,2.2720694645441393,80.336,muscle_gain
71.0,2791,140,36,7373,58,8,75.43243243243244,1.971830985915493,43.373,muscle_gain
72.9,2683,139,105,4243,59,8,25.31132075471698,1.9067215363511658,109.243,muscle_gain
68.6,3173,68,109,4645,60,8,28.845454545454544,0.9912536443148688,113.645,weight_loss
69.4,1846,88,63,12049,61,8,28.84375,1.2680115273775214,75.049,muscle_gain
66.7,2666,175,44,6612,62,8,59.24444444444445,2.623688155922039,50.612,weight_loss
66.4,2622,175,36,3865,63,9,70.86486486486487,2.6355421686746987,39.865,maintenance
72.4,2735,107,32,13104,64,9,82.87878787878788,1.4779005524861877,45.104,muscle_gain
74.1,2455,110,103,13045,65,9,23.60576923076923,1.484480431848853,116.045,muscle_gain
69.8,2068,176,44,8028,66,9,45.955555555555556,2.521489971346705,52.028,weight_loss
73.0,2169,154,87,9326,67,9,24.647727272727273,2.1095890410958904,96.326,muscle_gain
71.1,2435,50,29,8371,68,9,81.16666666666667,0.7032348804500704,37.371,weight_loss
68.1,2929,141,86,8359,69,9,33.666666666666664,2.0704845814977975,94.359,weight_loss
71.1,3493,162,37,9863,70,10,91.92105263157895,2.278481012658228,46.863,muscle_gain
74.6,3482,105,119,5228,71,10,29.016666666666666,1.4075067024128687,124.228,muscle_gain
69.9,2456,166,105,5719,72,10,23.169811320754718,2.3748211731044346,110.719,weight_loss
74.7,1919,107,53,13420,73,10,35.53703703703704,1.4323962516733602,66.42,muscle_gain
62.1,2630,93,27,4371,74,10,93.92857142857143,1.497584541062802,31.371000000000002,weight_loss
72.5,3427,110,59,4891,75,10,57.11666666666667,1.5172413793103448,63.891,muscle_gain
70.3,2881,96,102,5756,76,10,27.97087378640777,1.3655761024182078,107.756,weight_loss
69.1,3169,129,61,6225,77,11,51.11290322580645,1.8668596237337194,67.225,weight_loss
70.3,2540,167,60,2094,78,11,41.63934426229508,2.3755334281650073,62.094,muscle_gain
64.0,3297,69,25,4674,79,11,126.8076923076923,1.078125,29.674,weight_loss
69.3,1916,96,71,8898,80,11,26.61111111111111,1.3852813852813854,79.898,muscle_gain
71.1,2590,98,45,12147,81,11,56.30434782608695,1.378340365682138,57.147,muscle_gain
74.4,2950,63,83,2793,82,11,35.11904761904762,0.846774193548387,85.793,muscle_gain
68.4,3216,50,117,12026,83,11,27.25423728813559,0.7309941520467835,129.026,weight_loss
67.6,2812,166,78,4116,84,12,35.59493670886076,2.4556213017751483,82.116,weight_loss
68.5,3464,103,75,7779,85,12,45.578947368421055,1.5036496350364963,82.779,muscle_gain
72.7,2881,167,78,14298,86,12,36.46835443037975,2.2971114167812927,92.298,muscle_gain
71.0,2433,52,89,13517,87,12,27.033333333333335,0.7323943661971831,102.517,weight_loss
68.4,2312,61,52,13111,88,12,43.62264150943396,0.891812865497076,65.111,weight_loss
71.5,2601,123,72,12789,89,12,35.63013698630137,1.7202797202797202,84.789,muscle_gain
70.3,2919,65,41,13397,90,12,69.5,0.9246088193456615,54.397,weight_loss
72.9,3461,151,40,14999,91,13,84.41463414634147,2.0713305898491083,54.999,muscle_gain
67.9,2941,166,89,8166,92,13,32.67777777777778,2.4447717231222383,97.166,weight_loss
69.0,2359,57,89,2814,93,13,26.211111111111112,0.8260869565217391,91.814,muscle_gain
68.8,3424,171,23,2345,94,13,142.66666666666666,2.48546511627907,25.345,maintenance
65.6,2287,141,113,12541,95,13,20.06140350877193,2.149390243902439,125.541,weight_loss
70.9,3060,139,94,10554,96,13,32.21052631578947,1.9605077574047953,104.554,muscle_gain
70.8,2696,109,81,4443,97,13,32.8780487804878,1.53954802259887,85.443,maintenance
70.0,3095,77,81,12457,98,14,37.74390243902439,1.1,93.457,maintenance
69.3,3012,150,113,12380,99,14,26.42105263157895,2.1645021645021645,125.38,maintenance
65.8,2503,90,114,9783,100,14,21.765217391304347,1.3677811550151977,123.783,weight_loss
68.7,3270,95,43,13197,101,14,74.31818181818181,1.3828238719068413,56.197,muscle_gain
69.0,2380,84,74,13473,102,14,31.733333333333334,1.2173913043478262,87.473,maintenance
67.6,2589,131,28,2984,103,14,89.27586206896552,1.9378698224852073,30.984,weight_loss
69.5,2660,164,22,9790,104,14,115.65217391304348,2.3597122302158273,31.79,muscle_gain
71.2,2046,96,50,11831,105,15,40.11764705882353,1.348314606741573,61.831,muscle_gain
75.7,2899,59,59,2827,106,15,48.31666666666667,0.7793923381770145,61.827,muscle_gain
70.5,1953,105,55,12922,107,15,34.875,1.4893617021276595,67.922,weight_loss
70.8,3479,79,43,5531,108,15,79.06818181818181,1.115819209039548,48.531,maintenance
69.8,3258,158,114,9147,109,15,28.330434782608695,2.2636103151862463,123.147,weight_loss
64.2,2796,54,25,6451,110,15,107.53846153846153,0.8411214953271028,31.451,weight_loss
69.9,2909,168,85,13127,111,15,33.825581395348834,2.4034334763948495,98.127,muscle_gain
70.2,2496,82,103,5876,112,16,24.0,1.168091168091168,108.876,maintenance
77.4,3108,167,111,7959,113,16,27.75,2.1576227390180875,118.959,muscle_gain
69.4,3043,114,94,2126,114,16,32.03157894736842,1.6426512968299711,96.126,weight_loss
70.9,2892,60,23,5177,115,16,120.5,0.8462623413258109,28.177,muscle_gain
69.9,2870,134,98,13248,116,16,28.98989898989899,1.9170243204577968,111.248,weight_loss
66.5,2808,75,25,10795,117,16,108.0,1.1278195488721805,35.795,weight_loss
73.4,1893,112,113,13641,118,16,16.605263157894736,1.5258855585831061,126.641,muscle_gain
72.3,2757,135,70,8024,119,17,38.83098591549296,1.8672199170124482,78.024,weight_loss
72.4,2811,108,81,7109,120,17,34.28048780487805,1.4917127071823204,88.109,maintenance
67.3,2252,76,76,6146,121,17,29.246753246753247,1.1292719167904903,82.146,weight_loss
74.2,3027,147,85,9196,122,17,35.19767441860465,1.9811320754716981,94.196,muscle_gain
65.8,2711,154,98,13725,123,17,27.383838383838384,2.3404255319148937,111.725,weight_loss
71.8,2017,148,94,13559,124,17,21.231578947368423,2.0612813370473537,107.559,muscle_gain
76.6,2273,178,27,5368,125,17,81.17857142857143,2.3237597911227157,32.368,muscle_gain
67.0,2231,104,45,5797,126,18,48.5,1.5522388059701493,50.797,weight_loss
68.3,2140,55,70,3792,127,18,30.140845070422536,0.8052708638360176,73.792,muscle_gain
70.3,2350,144,64,13053,128,18,36.15384615384615,2.0483641536273116,77.053,muscle_gain
68.5,3435,151,63,7732,129,18,53.671875,2.204379562043796,70.732,weight_loss
65.3,3112,52,24,5476,130,18,124.48,0.7963246554364471,29.476,weight_loss
70.2,3077,72,89,5417,131,18,34.18888888888889,1.0256410256410255,94.417,muscle_gain
66.8,2156,102,45,3645,132,18,46.869565217391305,1.5269461077844313,48.645,weight_loss
71.4,1822,132,87,11397,133,19,20.704545454545453,1.8487394957983192,98.397,muscle_gain
67.2,2321,134,38,5030,134,19,59.51282051282051,1.994047619047619,43.03,weight_loss
74.6,2923,127,103,4872,135,19,28.10576923076923,1.7024128686327078,107.872,muscle_gain
67.7,2601,159,116,5072,136,19,22.23076923076923,2.348596750369276,121.072,weight_loss
69.0,3003,50,39,3854,137,19,75.075,0.7246376811594203,42.854,muscle_gain
72.4,3046,100,31,6021,138,19,95.1875,1.3812154696132595,37.021,muscle_gain
66.3,2561,53,66,6662,139,19,38.223880597014926,0.799396681749623,72.662,weight_loss
70.7,3482,162,20,8514,140,20,165.8095238095238,2.2913719943422914,28.514,muscle_gain
73.9,2241,81,109,7031,141,20,20.37272727272727,1.0960757780784844,116.031,muscle_gain
65.2,3431,83,33,4708,142,20,100.91176470588235,1.2730061349693251,37.708,weight_loss
70.6,2568,141,83,13694,143,20,30.571428571428573,1.9971671388101984,96.694,muscle_gain
70.8,2815,144,57,9112,144,20,48.53448275862069,2.0338983050847457,66.112,maintenance
72.3,3148,121,56,11524,145,20,55.228070175438596,1.673582295988935,67.524,muscle_gain
66.3,2315,88,30,10393,146,20,74.6774193548387,1.3273001508295625,40.393,weight_loss
66.0,2839,167,119,5507,147,21,23.658333333333335,2.5303030303030303,124.507,maintenance
71.6,2591,52,96,8456,148,21,26.711340206185568,0.7262569832402235,104.456,muscle_gain
70.9,2135,172,22,6212,149,21,92.82608695652173,2.4259520451339913,28.212,maintenance
70.8,2057,99,52,9970,150,21,38.81132075471698,1.3983050847457628,61.97,maintenance
71.0,2296,61,25,10766,151,21,88.3076923076923,0.8591549295774648,35.766,maintenance
68.0,2695,103,69,2536,152,21,38.5,1.5147058823529411,71.536,weight_loss
70.7,1959,106,29,3625,153,21,65.3,1.4992927864214993,32.625,muscle_gain
70.9,3298,161,24,12314,154,22,131.92,2.2708039492242595,36.314,maintenance
67.9,2651,96,42,9973,155,22,61.651162790697676,1.413843888070692,51.973,weight_loss
75.6,3487,134,29,10577,156,22,116.23333333333333,1.7724867724867726,39.577,muscle_gain
71.4,2489,115,63,10070,157,22,38.890625,1.610644257703081,73.07,weight_loss
66.4,3498,124,21,13473,158,22,159.0,1.8674698795180722,34.473,weight_loss
72.0,2179,152,32,10666,159,22,66.03030303030303,2.111111111111111,42.666,muscle_gain
67.1,3368,87,59,10609,160,22,56.13333333333333,1.2965722801788377,69.609,weight_loss
72.4,2756,99,21,8490,161,23,125.27272727272727,1.367403314917127,29.490000000000002,muscle_gain
73.5,2490,147,103,5600,162,23,23.942307692307693,2.0,108.6,muscle_gain
67.5,3250,131,84,8783,163,23,38.23529411764706,1.9407407407407407,92.783,weight_loss
72.9,3436,79,82,11146,164,23,41.397590361445786,1.083676268861454,93.146,muscle_gain
71.2,3091,128,92,6971,165,23,33.236559139784944,1.797752808988764,98.971,weight_loss
72.5,3400,140,36,3205,166,23,91.89189189189189,1.9310344827586208,39.205,muscle_gain
75.7,3240,101,28,14951,167,23,111.72413793103448,1.334214002642008,42.951,muscle_gain
69.3,2991,128,94,14312,168,24,31.48421052631579,1.847041847041847,108.312,weight_loss
67.7,2866,79,34,3990,169,24,81.88571428571429,1.1669128508124076,37.99,weight_loss
67.3,3379,155,43,7299,170,24,76.79545454545455,2.3031203566121845,50.299,maintenance
67.6,2084,100,57,14997,171,24,35.93103448275862,1.4792899408284026,71.997,maintenance
69.8,2196,130,54,5572,172,24,39.92727272727273,1.8624641833810889,59.572,muscle_gain
71.0,1811,78,113,7975,173,24,15.885964912280702,1.0985915492957747,120.975,muscle_gain
70.8,3430,123,114,8320,174,24,29.82608695652174,1.7372881355932204,122.32,maintenance
72.5,3125,66,68,6380,175,25,45.289855072463766,0.9103448275862069,74.38,muscle_gain
70.0,3076,133,88,14350,176,25,34.561797752808985,1.9,102.35,weight_loss
74.4,2298,118,81,6757,177,25,28.024390243902438,1.586021505376344,87.757,muscle_gain
69.2,2553,83,79,4713,178,25,31.9125,1.199421965317919,83.713,weight_loss
78.2,1834,55,69,12395,179,25,26.2,0.7033248081841432,81.395,muscle_gain
71.9,2526,102,97,7588,180,25,25.775510204081634,1.4186369958275382,104.588,weight_loss
67.4,2648,175,94,13312,181,25,27.873684210526317,2.5964391691394657,107.312,weight_loss
66.8,1889,92,28,2966,182,26,65.13793103448276,1.377245508982036,30.966,maintenance
71.4,2575,164,53,6944,183,26,47.68518518518518,2.2969187675070026,59.944,muscle_gain
69.3,2404,160,95,5432,184,26,25.041666666666668,2.308802308802309,100.432,weight_loss
72.1,2769,129,118,2688,185,26,23.26890756302521,1.7891816920943135,120.688,muscle_gain
71.4,3425,144,54,6243,186,26,62.27272727272727,2.0168067226890756,60.243,maintenance
69.8,2821,167,20,5701,187,26,134.33333333333334,2.3925501432664755,25.701,weight_loss
67.5,2217,57,59,10533,188,26,36.95,0.8444444444444444,69.533,weight_loss
65.5,1914,153,83,7182,189,27,22.785714285714285,2.33587786259542,90.182,weight_loss
68.7,2416,74,41,11916,190,27,57.523809523809526,1.0771470160116448,52.916,muscle_gain
72.6,3019,145,79,8704,191,27,37.7375,1.997245179063361,87.70400000000001,muscle_gain
70.6,2625,142,83,6422,192,27,31.25,2.011331444759207,89.422,weight_loss
66.3,3324,110,112,11984,193,27,29.41592920353982,1.6591251885369533,123.984,weight_loss
70.5,3449,171,91,3759,194,27,37.48913043478261,2.425531914893617,94.759,muscle_gain
71.2,3316,100,30,13404,195,27,106.96774193548387,1.4044943820224718,43.403999999999996,maintenance
67.3,2898,70,33,11181,196,28,85.23529411764706,1.0401188707280833,44.181,weight_loss
70.5,2212,54,79,12454,197,28,27.65,0.7659574468085106,91.45400000000001,muscle_gain
70.2,3199,141,49,4482,198,28,63.98,2.0085470085470085,53.482,maintenance
66.6,3243,110,54,10058,199,28,58.96363636363636,1.6516516516516517,64.05799999999999,weight_loss
